region,name,2012,2013,2014,2015,2016,2017
re_1515,Nordrhein-Westfalen,830,1282,186,2976,4163,5283
re_1516,Baden-Wrttemberg,763,1377,2391,4042,4769,6667
re_1517,Hessen,412,598,902,1426,1966,2592
re_1518,Bremen,80,97,181,258,264,263
re_1519,Thringen,52,82,111,199,285,415
re_1520,Hamburg,194,231,430,673,858,956
re_2331,Rheinland-Pfalz,165,268,374,622,966,1423
re_2332,Saarland,98,134,108,164,220,303
re_2333,Bayern,928,1407,2400,4053,5760,8175
re_2334,Berlin,165,328,657,849,1445,1668
re_2335,Sachsen-Anhalt,50,78,86,150,232,310
re_2336,Sachsen,210,213,369,591,735,984
re_3312,Mecklenburg-Vorpommern,22,61,76,126,176,252
re_3562,Brandenburg,47,107,177,303,426,568
re_6321,Niedersachsen,436,705,1699,2006,2484,3076
re_942,Schleswig-Holstein,88,145,325,500,740,1073
