county,countyID,brown,public,none
Schleswig-Holstein,0,0.76,0.15,0.09
Hamburg,1,0.63,0.24,0.12
Niedersachsen,2,0.76,0.16,0.08
Bremen,3,0.68,0.19,0.13
Nordrhein-Westfalen,4,0.76,0.16,0.07
Hessen,5,0.75,0.19,0.07
Rheinland-Pfalz,6,0.79,0.15,0.06
Baden-Württemberg,7,0.74,0.19,0.07
Bayern,8,0.76,0.18,0.07
Saarland,9,0.84,0.11,0.05
Berlin,10,0.59,0.31,0.11
Brandenburg,11,0.74,0.19,0.07
Mecklenburg-Vorpommern,12,0.77,0.15,0.07
Sachsen,13,0.81,0.12,0.06
Sachsen-Anhalt,14,0.73,0.19,0.08
Thüringen,15,0.82,0.13,0.05
